ICAO,Model,Manufacturer,Capacity
A124,Antonov An-124 Ruslan,Antonov,234
A140,Antonov An-140,Antonov,250
A148,Antonov An-148,Antonov,142
A158,Antonov An-158,Antonov,54
A19N,Airbus A319neo,Airbus,279
A20N,Airbus A320neo,Airbus,178
A21N,Airbus A321neo,Airbus,173
A225,Antonov An-225 Mriya,Antonov,93
A306,Airbus A300-600,Airbus,387
A310,Airbus A310-200,Airbus,327
A318,Airbus A318,Airbus,247
A319,Airbus A319,Airbus,207
A320,Airbus A320,Airbus,325
A321,Airbus A321,Airbus,287
A332,Airbus A330-200,Airbus,370
A333,Airbus A330-300,Airbus,300
A337,"Airbus A330-700 ""BelugaXL""",Airbus,170
A338,Airbus A330-800,Airbus,332
A339,Airbus A330-900,Airbus,367
A342,Airbus A340-200,Airbus,173
A343,Airbus A340-300,Airbus,198
A345,Airbus A340-500,Airbus,165
A346,Airbus A340-600,Airbus,373
A359,Airbus A350-900,Airbus,376
A35K,Airbus A350-1000,Airbus,334
A388,Airbus A380-800,Airbus,328
A3ST,"Airbus A300-600ST ""Super Transporter"" / ""Beluga""",Airbus,387
A400,Airbus A400M Atlas,Airbus,400
A748,Hawker Siddeley HS 748,Hawker,42
AC90,Gulfstream/Rockwell (Aero) Turbo Commander 690,Gulfstream/Rockwell,171
AJ27,Comac ARJ21-700 / C909,Comac,100
AN12,Antonov An-12,Antonov,161
AN24,Antonov An-24,Antonov,223
AN26,Antonov An-26,Antonov,215
AN28,Antonov An-28,Antonov,243
AN30,Antonov An-30,Antonov,204
AN32,Antonov An-32,Antonov,94
AN72,Antonov An-72 / An-74,Antonov,103
AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale/Alenia,169
AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,194
AT46,Aerospatiale/Alenia ATR 42-600,Aerospatiale/Alenia,155
AT72,Aerospatiale/Alenia ATR 72-201/-202,Aerospatiale/Alenia,101
AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,77
AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,131
AT76,Aerospatiale/Alenia ATR 72-212A (600),Aerospatiale/Alenia,167
ATP,British Aerospace ATP,British,138
B190,Beechcraft 1900,Beechcraft,32
B37M,Boeing 737 MAX 7,Boeing,218
B38M,Boeing 737 MAX 8,Boeing,278
B39M,Boeing 737 MAX 9,Boeing,229
B3XM,Boeing 737 MAX 10,Boeing,369
