AirportID,IATACode,ICAOCode,Name,City,Country,TimeZone,CreatedAt,UpdatedAt
23596777,KFF,,"Johnson, Wong and Cox Airport",,,,1746694151,1746694151
17812523,TEW,TLYS,"Burke, Robles and Cox Airport",Simonbury,Madagascar,,1746694151,
24476950,JOL,EQOH,Velazquez LLC Airport,Ortizport,Wallis and Futuna,Europe/Malta,1746694151,
30025317,YWT,MMUV,Lawson-Moore Airport,East Brendan,Nauru,Europe/Prague,1746694151,1746694151
26391189,HNQ,DXXK,Long-Oconnor Airport,East Christyland,Sri Lanka,Europe/Zurich,1746694151,1746694151
65832586,GDK,,Santana Ltd Airport,,,,1746694151,1746694151
33759602,HAD,CWQF,"Shah, Lopez and Manning Airport",North Jason,Barbados,Asia/Dhaka,,1746694151
08502557,XRR,XPPJ,Shaw Group Airport,,Cuba,Africa/Sao_Tome,,1746694151
03916084,GTR,VDRU,"Best, Marshall and Rodgers Airport",Joshuamouth,Andorra,Europe/Chisinau,1746694151,1746694151
79912485,VFG,QEUJ,"Bates, Goodwin and Ramirez Airport",Jacobston,Gibraltar,Indian/Comoro,1746694151,1746694151
68941779,IFP,DMUY,Smith Inc Airport,South Michaelmouth,Bahamas,,1746694151,1746694151
03318509,WLU,MSML,James-Kirk Airport,West Mark,Solomon Islands,Asia/Yerevan,1746694151,1746694151
80309216,SHG,WFOR,Washington-Black Airport,North Brittanyborough,Colombia,Asia/Dushanbe,1746694151,1746694151
63891821,YRT,APGS,"Mcconnell, Gordon and Griffin Airport",,,Africa/Bamako,1746694151,1746694151
54028659,MWE,ETEM,"Gibson, Fleming and Wilkins Airport",,French Southern Territories,Asia/Pyongyang,,1746694151
61910971,LGJ,IVUP,Ibarra Ltd Airport,South Heathermouth,,,1746694151,1746694151
69018744,ULN,,Barton-Franco Airport,Thompsonbury,Montenegro,Asia/Yerevan,1746694151,1746694151
58156649,YHC,FIIR,Lawson Inc Airport,East Donna,Uzbekistan,,1746694151,1746694151
48427925,SAI,EFLK,Hess-Wilson Airport,Marychester,Oman,America/Grenada,1746694151,
84681553,AOM,RIBT,Jimenez-Jenkins Airport,Freemanside,Finland,,1746694151,1746694151
61041418,XSA,UBFC,Walker LLC Airport,,Belgium,Europe/Stockholm,1746694151,1746694151
17105247,NLM,YCXM,Mahoney-Ramsey Airport,Walkerhaven,Palau,America/Guatemala,1746694151,1746694151
33977062,MBD,GSEW,"Dawson, Perry and Vincent Airport",North Petershire,Korea,Asia/Jerusalem,,1746694151
98210755,AYI,JKUI,Duran and Sons Airport,Johnstad,Samoa,,1746694151,1746694151
68881763,KNO,VWWK,Gregory PLC Airport,Ricardotown,Namibia,Pacific/Easter,,1746694151
15863141,EJK,SKRS,Norton-Zavala Airport,West Christopher,Grenada,Indian/Comoro,1746694151,1746694151
97558937,DUB,AOOD,Cohen-Martinez Airport,Smithview,,Asia/Colombo,1746694151,1746694151
63298600,PTE,,Soto PLC Airport,,Hungary,Africa/Bujumbura,,1746694151
75464062,EEQ,ZQCE,Hawkins-Kennedy Airport,South Josephton,Paraguay,America/Paramaribo,1746694151,1746694151
95407116,YKD,JUIL,Cox Group Airport,East Derrickshire,Georgia,,1746694151,1746694151
93795441,AIW,KEOR,"Gordon, Perkins and Thompson Airport",Perezbury,India,America/Argentina/Rio_Gallegos,1746694151,1746694151
