AirlineID,IATACode,ICAOCode,Name,Country,CreatedAt,UpdatedAt
1,JS,ATMM,Thompson and Sons Airlines,Algeria,1747275341,1747275341
2,LD,,"Martinez, Morse and Hooper Airlines",Ireland,1747275341,1747275341
3,YN,JKXP,"Wyatt, Salas and Lambert Airlines",Mauritius,1747275341,1747275341
4,SW,GUVL,"Grimes, Smith and Ramirez Airlines",Belize,1747275341,1747275341
5,WZ,,Oconnell Group Airlines,Aruba,1747275341,1747275341
6,FH,LPLA,"Wilson, Lee and Lane Airlines",Tokelau,1747275341,1747275341
7,SH,,"Bush, Finley and Trujillo Airlines",United States Virgin Islands,1747275341,1747275341
8,AR,,Cobb-Harris Airlines,Belize,1747275341,1747275341
9,UX,PAMO,Hardy Ltd Airlines,Saudi Arabia,1747275341,1747275341
10,KZ,IMYD,Aguirre-Ellis Airlines,Myanmar,1747275341,1747275341
11,ZK,AZPQ,Buck and Sons Airlines,Ireland,1747275341,1747275341
12,GI,AGDL,Cooper-Johnson Airlines,Tunisia,1747275341,1747275341
13,AL,CSOX,Martinez LLC Airlines,Mauritania,1747275341,1747275341
14,JD,,Miller Inc Airlines,Kazakhstan,1747275341,1747275341
15,AA,,"Winters, Garcia and Macdonald Airlines",British Virgin Islands,1747275341,1747275341
16,GW,LRUY,Castro-Reynolds Airlines,French Polynesia,1747275341,1747275341
17,BF,NAMP,Stevens-Allen Airlines,Gambia,1747275341,1747275341
18,FD,FBLY,Freeman-Faulkner Airlines,Germany,1747275341,1747275341
19,AU,QHZG,Arias LLC Airlines,Northern Mariana Islands,1747275341,1747275341
20,KO,UIZQ,Allen LLC Airlines,Peru,1747275341,1747275341
21,OG,BPFX,Davis-Brown Airlines,Panama,1747275341,1747275341
22,VN,KDRS,"Williams, Brown and Andersen Airlines",Cayman Islands,1747275341,1747275341
23,LU,,Davis and Sons Airlines,Sweden,1747275341,1747275341
24,QV,YDKE,Green-Wilcox Airlines,Wallis and Futuna,1747275341,1747275341
25,SK,GVYP,Tyler Inc Airlines,Poland,1747275341,1747275341
26,AG,KOFY,"Rodriguez, Brown and Moreno Airlines",Germany,1747275341,1747275341
27,QU,QFEB,"Crawford, Hogan and Erickson Airlines",Tunisia,1747275341,1747275341
28,WD,HTMQ,Barber Group Airlines,Reunion,1747275341,1747275341
29,YL,XEZO,Bowman Ltd Airlines,Liberia,1747275341,1747275341
30,UI,GQKS,Becker-Chavez Airlines,Myanmar,1747275341,1747275341
31,XI,DNNJ,Parker and Sons Airlines,Armenia,1747275341,1747275341
32,OK,LAMX,Weaver Inc Airlines,Libyan Arab Jamahiriya,1747275341,1747275341
33,GB,PHQM,Carr LLC Airlines,Micronesia,1747275341,1747275341
34,RW,HJDK,Tucker-Williams Airlines,Micronesia,1747275341,1747275341
35,MB,,"Frye, Schultz and Booker Airlines",Spain,1747275341,1747275341
36,IU,TYQE,Peterson and Sons Airlines,Haiti,1747275341,1747275341
37,HS,ILFS,Gonzalez-Williams Airlines,Cayman Islands,1747275341,1747275341
38,ME,,Phillips-Thompson Airlines,Panama,1747275341,1747275341
39,ZI,YAEL,Schultz PLC Airlines,Vanuatu,1747275341,1747275341
40,XA,MXLZ,"Rodriguez, Liu and Jones Airlines",Tunisia,1747275341,1747275341
41,CO,JDBT,Snow-Dominguez Airlines,Anguilla,1747275341,1747275341
42,OZ,,"Ferguson, Robinson and Webster Airlines",Vietnam,1747275341,1747275341
43,TW,ZZQJ,Young-Lawson Airlines,Venezuela,1747275341,1747275341
44,IE,KFRF,Allen Ltd Airlines,Guinea-Bissau,1747275341,1747275341
45,FY,URAZ,Pollard LLC Airlines,Libyan Arab Jamahiriya,1747275341,1747275341
46,PO,,"Webster, Tate and Silva Airlines",Djibouti,1747275341,1747275341
47,QJ,,Reeves Inc Airlines,Cyprus,1747275341,1747275341
48,EN,,Le LLC Airlines,Uganda,1747275341,1747275341
49,VO,VCOD,Shaffer-Jones Airlines,Saint Lucia,1747275341,1747275341
50,HB,TABA,"Lee, Castillo and Bolton Airlines",Latvia,1747275341,1747275341
51,WA,KSJN,Robertson Inc Airlines,Spain,1747275341,1747275341
52,TP,EMJN,"Townsend, Fuentes and Gardner Airlines",Pakistan,1747275341,1747275341
53,KH,UHID,Taylor Group Airlines,Singapore,1747275341,1747275341
54,DL,ZPLD,Gomez LLC Airlines,Yemen,1747275341,1747275341
55,AS,UTRM,Wilson Ltd Airlines,Sierra Leone,1747275341,1747275341
56,KC,OHLK,Martinez Inc Airlines,Ethiopia,1747275341,1747275341
57,GU,EBGE,Santos-Hamilton Airlines,Japan,1747275341,1747275341
58,KW,PHVG,Mccormick PLC Airlines,Georgia,1747275341,1747275341
59,TE,ARYG,Hernandez-Caldwell Airlines,Malawi,1747275341,1747275341
60,BS,,Hansen-Peters Airlines,Marshall Islands,1747275341,1747275341
61,JQ,JJQD,Morgan Inc Airlines,Central African Republic,1747275341,1747275341
62,RA,PLIL,Meyer Group Airlines,Bolivia,1747275341,1747275341
63,XL,,"Franklin, Rangel and Brock Airlines",Micronesia,1747275341,1747275341
64,EP,,Washington-Guerra Airlines,Mauritius,1747275341,1747275341
65,UY,TAGT,"Bryan, Smith and Robinson Airlines",Denmark,1747275341,1747275341
66,AE,LTMX,Lee Ltd Airlines,Slovenia,1747275341,1747275341
67,YZ,,Smith PLC Airlines,Bhutan,1747275341,1747275341
68,CI,NLLH,"Huber, Hill and Harris Airlines",New Zealand,1747275341,1747275341
69,EM,MDJV,Dunn-Ramirez Airlines,Taiwan,1747275341,1747275341
70,RK,WRRZ,Allen-Becker Airlines,Antarctica (the territory South of 60 deg S),1747275341,1747275341
71,UA,ZWJI,Thompson Ltd Airlines,Tunisia,1747275341,1747275341
72,VV,IRCD,Robinson-Johnson Airlines,Ukraine,1747275341,1747275341
73,AW,PMPC,"Stewart, Boyd and Wright Airlines",Iraq,1747275341,1747275341
