AirportID,IATACode,ICAOCode,Name,LocationID,CreatedAt,UpdatedAt
1,STH,ESAG,"Ingram, Powers and Macias Airport",1356789670,1747274438,1747274438
2,TPF,ZMAV,Crawford Inc Airport,1356955342,1747274438,1747274438
3,KDE,PFXK,"Gregory, West and Green Airport",1528721027,1747274438,1747274438
4,GCA,WGIG,Levy-Jacobs Airport,1840019515,1747274438,1747274438
5,XVI,OOZZ,Maddox Inc Airport,1840005008,1747274438,1747274438
6,NQA,PKBW,"Jones, Watts and Carlson Airport",1076642635,1747274438,1747274438
7,ZHU,DZKH,Cook PLC Airport,1724724364,1747274438,1747274438
8,DJP,MYSI,Howard Ltd Airport,1076133279,1747274438,1747274438
9,ELR,BKQD,Mcdonald-Nguyen Airport,1840015142,1747274438,1747274438
10,OWD,QYSA,"Clark, Porter and Simpson Airport",1332451568,1747274438,1747274438
11,GLN,BGZV,Sherman-Robbins Airport,1356119813,1747274438,1747274438
12,DOU,LSWI,Perez PLC Airport,1710825371,1747274438,1747274438
13,HBT,FKFC,"Thompson, Haas and Johnson Airport",1840006106,1747274438,1747274438
14,JXP,,Riddle Inc Airport,1276982173,1747274438,1747274438
15,QWZ,BKEZ,"Berg, Garza and Bryant Airport",1558215738,1747274438,1747274438
16,PGA,FFMZ,Walker Group Airport,1608731814,1747274438,1747274438
17,USU,WKGG,"Cooper, Harrell and Barnett Airport",1608988529,1747274438,1747274438
18,ZCZ,PUKY,Davenport Group Airport,1792891038,1747274438,1747274438
19,KWH,MJIU,"Ray, Ward and Miles Airport",1276030665,1747274438,1747274438
20,DBL,HFKJ,Wilson Group Airport,1554578431,1747274438,1747274438
21,DZU,SNSZ,"Smith, Morgan and Owens Airport",1840003101,1747274438,1747274438
22,BBH,BKTE,Reed Inc Airport,1804843183,1747274438,1747274438
23,QCR,SXRJ,Cook-Lewis Airport,1643502986,1747274438,1747274438
24,RYZ,QTZN,"Caldwell, Michael and Mcdaniel Airport",1032807074,1747274438,1747274438
25,DUX,MPKO,Lee-King Airport,1840073931,1747274438,1747274438
26,PCX,GFIR,Jones-Dixon Airport,1356924393,1747274438,1747274438
27,GYZ,CRFW,Solomon-Howard Airport,1344851698,1747274438,1747274438
