RegistrationNumber,ReferenceCapacity,MWOT,RegisteredDate,ARCExpiredDate,RegistrationStatus
NT-21141378,119,133,2020-01-30,2021-02-09,Active
CQ-55193475,205,310,1997-08-12,1998-06-17,Active
OM-04668665,270,293,2024-05-08,2025-06-07,Active
XV-52518033,389,281,1996-01-28,1997-03-12,Active
VC-88908942,377,269,2018-12-11,2019-10-20,Active
PR-41823964,167,115,2006-01-04,2007-02-20,Active
GR-31999878,210,124,2001-09-05,2002-08-26,Corrosion on airframe or wings
YZ-29036481,364,262,2002-10-19,2003-09-21,Active
VP-13550248,497,302,2020-07-06,2021-06-09,Active
YR-88184734,270,189,2008-11-25,2009-11-23,Active
ZM-07050737,406,184,2003-10-21,2004-11-22,Active
IZ-80502381,143,219,2009-12-17,2010-11-03,Active
JD-35862681,387,113,2000-10-19,2001-11-03,Active
ED-61902318,305,183,2012-07-08,2013-05-23,Active
QG-87175848,268,189,2002-09-22,2003-09-13,Expired airworthiness certificate
JL-79604963,294,326,2009-02-11,2010-02-07,Active
ML-37272294,355,188,2000-03-10,2001-05-03,Active
ID-11719856,286,373,2024-07-09,2025-07-01,Active
WJ-79407997,374,256,2014-10-15,2015-10-15,Engine or sensors not working
SM-98532975,300,361,2015-10-23,2016-09-25,Active
WN-38309031,274,258,2016-11-08,2017-09-10,Active
QN-85505826,387,257,2003-03-15,2004-03-07,Active
FF-11500896,140,191,2018-09-02,2019-07-15,Active
EE-76477550,327,213,2009-06-08,2010-06-05,Active
TG-09726849,351,338,2004-02-11,2005-02-18,Active
IJ-13418794,418,191,2011-03-22,2012-04-18,Active
TP-35208905,167,240,2010-01-21,2011-03-01,Active
EA-59442470,480,250,2008-02-15,2008-12-23,Active
PS-19421654,123,339,2009-01-01,2010-01-23,Active
JP-04944541,188,350,1997-05-17,1998-07-14,Active
UF-89117406,121,155,1996-05-19,1997-03-30,Active
DO-21845128,237,353,2015-09-16,2016-09-26,Active
BX-52374996,167,374,2000-08-14,2001-08-31,Active
SL-10411131,468,247,2018-09-22,2019-10-05,Active
JV-16381634,286,349,2004-03-27,2005-05-06,Active
AJ-20091769,310,198,2024-08-08,2025-07-11,Active
UG-89987154,454,233,2003-12-24,2004-12-28,Active
BN-82382875,118,301,2022-10-18,2023-12-06,Active
WZ-74398130,238,201,2018-09-19,2019-08-02,Active
UH-31700409,470,125,2007-02-21,2008-04-12,Expired airworthiness certificate
RL-71085734,291,222,2018-12-04,2020-01-18,Active
EO-57417201,472,229,2006-05-05,2007-06-12,Active
PK-03018525,120,375,2008-04-23,2009-05-14,Active
JT-80589690,391,378,1999-02-20,2000-01-16,Active
BH-06736565,219,128,2008-10-20,2009-09-24,Active
ZP-00857280,187,343,2002-10-25,2003-12-23,Active
KR-93392810,246,236,2020-03-22,2021-02-14,Active
NI-75339756,310,217,2007-10-31,2008-12-25,Active
FP-01666237,223,289,2016-09-11,2017-10-08,Worn-out tires or brakes
GB-99619068,447,395,2011-03-24,2012-05-17,Active
AN-54760210,171,371,2004-04-22,2005-06-21,Active
HB-03192166,429,270,2007-09-01,2008-09-25,Active
WE-16229057,189,147,1996-01-15,1996-11-27,Active
ZI-23929134,149,353,1997-12-17,1999-01-22,Active
BA-80176632,188,105,2024-07-08,2025-06-08,Active
EJ-27552637,418,138,2005-07-06,2006-05-19,Active
UP-94605338,427,259,2007-10-09,2008-11-29,Active
LK-90161837,231,187,2014-05-11,2015-04-25,Active
KF-42456109,367,316,2016-07-09,2017-06-10,Active
NF-58145160,317,181,2008-11-06,2009-11-01,Active
UV-41280391,199,182,1996-11-17,1997-12-09,Active
TC-56936883,245,267,1995-10-16,1996-10-06,Active
JN-58633318,331,226,2003-12-12,2004-10-29,Active
DE-20056544,420,124,2018-08-05,2019-07-01,Active
QS-46086574,418,142,2017-12-03,2018-11-25,Active
UX-31692070,146,314,2009-12-21,2010-12-26,Active
GB-11715405,494,255,1996-01-25,1996-12-29,Active
XD-82787476,256,139,2004-02-23,2004-12-29,Active
LZ-81839376,133,168,2001-09-16,2002-07-24,Active
HM-32058065,270,196,2017-02-18,2018-03-11,Active
XJ-95347202,274,222,2000-02-28,2001-04-02,Active
RD-51387780,188,204,2022-11-18,2023-11-17,Active
HB-51078453,307,378,2001-12-22,2002-11-12,Active
GI-52926787,343,323,1997-08-10,1998-06-29,Active
DT-52512605,495,251,2009-10-20,2010-11-21,Active
KG-95267829,153,126,2017-10-06,2018-10-30,Active
XO-95944554,170,351,2023-12-16,2024-11-29,Active
SS-90956906,494,377,2000-04-16,2001-06-12,Maintenance not done as scheduled
SK-04066494,266,154,1997-12-20,1999-02-04,Active
GH-55321796,171,228,2008-02-19,2008-12-20,Active
BY-51459747,438,205,2023-07-02,2024-08-26,Active
WK-56926708,162,174,2023-09-23,2024-10-17,Active
GM-87425598,319,146,2003-08-26,2004-10-06,Active
AS-84572884,441,395,2003-06-25,2004-08-07,Active
MF-73139957,216,336,2012-09-07,2013-07-19,Active
KQ-38308570,325,327,2000-10-20,2001-09-10,Active
FV-03812508,431,359,2000-08-24,2001-07-11,Active
AL-06280302,160,220,2017-11-14,2018-12-09,Active
NX-35789919,303,342,2014-09-29,2015-09-24,Active
CQ-18647337,463,161,2002-01-28,2003-02-08,Active
IA-16884415,215,107,1996-07-09,1997-05-10,Active
BK-90926344,189,358,2017-01-28,2018-01-03,Active
AB-27328934,390,303,2007-03-31,2008-05-23,Active
TV-00519569,286,380,2022-11-20,2024-01-06,Active
PS-83483021,241,286,2019-08-25,2020-07-16,Active
RT-33217965,350,350,1997-09-01,1998-08-02,Active
MK-90444773,295,369,2014-06-22,2015-07-27,Active
JI-38828979,278,215,2010-03-03,2011-01-27,Active
YS-98547531,464,193,2001-12-19,2002-12-16,Active
NI-99080415,267,197,2024-09-17,2025-08-24,Active
DN-81784658,157,316,2011-06-09,2012-04-30,Active
VU-97339052,148,373,2012-04-01,2013-02-24,Active
XW-31929050,222,332,2022-04-23,2023-04-30,Active
AZ-58084954,133,270,2001-01-04,2002-02-27,Active
PY-50759851,208,254,2002-09-29,2003-09-10,Active
BL-89328616,147,395,2008-03-27,2009-02-21,Installation of non-compliant equipment
XC-93400483,306,226,2008-06-29,2009-05-28,Active
CX-75692687,223,271,1999-10-01,2000-08-15,Active
JA-94732446,161,266,1995-07-02,1996-06-10,Active
SW-21903239,278,206,2019-04-02,2020-04-16,Active
GK-70163147,141,283,2007-09-30,2008-11-16,Active
IZ-34282704,194,378,2012-02-02,2013-01-26,Active
IC-01257069,146,211,2013-08-18,2014-10-16,Active
UY-91593748,137,381,2013-04-16,2014-04-18,Active
UB-37538038,307,384,2019-03-01,2020-04-27,Active
AX-69822359,335,279,2000-04-17,2001-02-27,Active
XV-59409630,497,162,1998-11-13,1999-12-01,Active
MF-49353255,416,195,2013-10-21,2014-09-25,Active
EU-78146057,323,233,2019-08-01,2020-08-16,Active
ZS-09069840,357,163,2014-09-10,2015-08-12,Aircraft owned by unauthorized entity
LJ-51198889,382,370,2023-08-17,2024-06-21,Active
VX-15201465,181,324,2018-07-20,2019-06-17,Active
NY-90568062,278,202,2008-10-05,2009-08-25,Violation of weight or fuel regulations
MO-88053865,466,169,2008-02-22,2009-04-19,Active
VF-95415355,375,124,1996-02-14,1997-04-14,Active
CT-23428924,115,387,1995-07-30,1996-08-14,Active
QO-16076766,133,374,2021-02-26,2022-01-04,Active
OH-34182415,193,217,2011-10-23,2012-11-24,Active
YC-83809923,404,244,2007-02-01,2008-01-04,Active
ZP-39896708,394,390,2002-07-20,2003-07-09,Active
MC-81058110,176,154,2011-07-21,2012-08-27,Active
MT-59492924,425,184,2006-03-03,2007-01-29,Active
RU-54110946,291,145,1996-04-02,1997-05-23,Active
NG-36715360,115,140,2001-08-17,2002-07-20,Active
YT-36408118,407,115,2003-03-13,2004-03-19,Active
OU-48578064,470,345,2019-03-04,2020-02-24,Active
MG-01307758,251,220,1996-09-18,1997-10-27,Active
LM-82875067,496,372,2014-07-02,2015-06-02,Active
RY-68598007,334,124,2018-07-08,2019-06-04,Maintenance not done as scheduled
WF-54808127,340,232,2008-12-20,2009-11-24,Active
GS-74078774,157,311,1998-12-04,1999-10-10,Improperly repaired after an incident
CO-37387509,198,209,1995-06-13,1996-07-22,Active
QW-51923681,241,293,2012-10-25,2013-12-18,Active
MG-91520565,375,347,1995-06-26,1996-05-30,Active
GS-50809283,492,345,2005-08-11,2006-08-15,Active
TK-06872224,275,366,1997-04-18,1998-05-19,Active
ZA-13986986,214,151,2025-03-14,2026-05-03,Active
EO-54554488,264,264,2023-12-14,2025-02-04,Active
NH-11412795,103,152,2019-06-04,2020-06-10,Active
WJ-32553130,349,359,2025-01-29,2026-01-10,Active
YA-17370359,169,246,2010-12-31,2012-01-25,Active
QU-05504605,321,341,2004-05-28,2005-05-09,Active
WW-81585023,462,289,2001-04-28,2002-04-20,Active
UW-64027019,331,379,2016-09-28,2017-11-22,Active
WC-19525529,319,373,2020-02-03,2021-03-30,Active
EA-71733858,196,120,1997-06-06,1998-07-05,Active
IN-47630021,101,153,2023-04-17,2024-04-09,Active
CM-32966500,220,121,2002-06-13,2003-05-29,Active
UN-01884154,443,346,2012-07-17,2013-08-27,Active
GF-46043466,362,299,2020-05-13,2021-03-19,Use for illegal activities (e.g. smuggling)
TF-87842599,422,117,1998-08-09,1999-07-04,Active
CQ-68467956,483,141,2017-12-24,2018-12-02,Active
MU-88355909,330,271,1996-09-19,1997-08-24,Active
UA-32889680,421,210,2018-10-14,2019-10-14,Active
KL-11858188,130,112,2020-05-15,2021-07-08,Active
EN-43580655,240,374,2009-06-25,2010-05-25,Active
LE-70673141,483,357,2023-10-02,2024-08-23,Active
LE-30030652,305,294,2024-11-19,2025-12-17,Active
AP-26019930,223,375,2016-05-06,2017-05-14,Active
GV-94164747,283,323,2014-05-27,2015-04-10,Active
IV-85396338,400,108,2004-12-26,2005-11-21,Active
MH-52209380,254,251,2025-04-21,2026-03-31,Active
AC-80524819,164,173,2019-10-23,2020-09-24,Active
BG-89885818,184,308,2007-09-08,2008-08-24,Active
SK-56470502,299,259,2004-10-09,2005-11-28,Active
CW-95973947,334,322,2003-11-18,2004-10-02,Active
PT-95619894,272,152,2014-06-25,2015-08-23,Active
BG-54729891,211,354,2019-03-01,2020-02-23,Active
MD-61584263,453,248,2011-09-13,2012-07-21,Active
YZ-32725945,142,376,2014-04-01,2015-04-20,Active
PM-41191281,369,344,1998-08-17,1999-09-12,Active
PJ-23839513,281,379,2001-10-04,2002-11-04,Active
IG-73986590,499,176,2000-10-21,2001-11-11,Unauthorized structural modifications
FO-91940501,448,367,1999-04-19,2000-05-04,Active
LA-72650654,158,120,2018-02-24,2019-02-12,Active
PP-09678737,110,235,2013-06-07,2014-07-11,Active
BG-26460816,442,168,1996-01-15,1996-12-23,Active
HD-89952470,250,167,2002-05-05,2003-05-07,Active
ZN-47571953,185,228,2000-04-21,2001-05-25,Active
WJ-96727548,440,334,2006-07-11,2007-05-22,Active
IN-31952002,226,219,1999-04-20,2000-05-08,Active
TP-88505211,264,292,2016-05-02,2017-06-24,Active
LF-34908062,448,290,2002-11-07,2003-11-23,Active
