AircraftID,RegistrationNumber,ICAOTypeCode,Model,Manufacturer,FlightStatus,OwnerAirlineID,CreatedAt,UpdatedAt
1,IO-97295756,AN28,Antonov An-28,Antonov,Active,93,1747301388,1747301388
2,KT-27417425,AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,Active,402,1747301388,1747301388
3,BA-71657740,A332,Airbus A330-200,Airbus,Maintenance,559,1747301388,1747301388
4,US-70054154,A337,"Airbus A330-700 ""BelugaXL""",Airbus,Active,432,1747301388,1747301388
5,JG-92607849,AN12,Antonov An-12,Antonov,Active,474,1747301388,1747301388
6,NA-68020498,A318,Airbus A318,Airbus,Active,622,1747301388,1747301388
7,NE-32179477,AJ27,Comac ARJ21-700 / C909,Comac,Active,195,1747301388,1747301388
8,NY-01249298,A359,Airbus A350-900,Airbus,Maintenance,272,1747301388,1747301388
9,PD-63096177,A225,Antonov An-225 Mriya,Antonov,Active,597,1747301388,1747301388
10,YS-85237231,A319,Airbus A319,Airbus,Active,505,1747301388,1747301388
11,GQ-48897277,A19N,Airbus A319neo,Airbus,Active,104,1747301388,1747301388
12,JR-79336587,A3ST,"Airbus A300-600ST ""Super Transporter"" / ""Beluga""",Airbus,Maintenance,76,1747301388,1747301388
13,WL-85361859,A400,Airbus A400M Atlas,Airbus,Active,371,1747301388,1747301388
14,PC-85313997,A388,Airbus A380-800,Airbus,Active,234,1747301388,1747301388
15,EJ-73417135,A310,Airbus A310-200,Airbus,Active,556,1747301388,1747301388
16,WI-23416314,A318,Airbus A318,Airbus,Maintenance,25,1747301388,1747301388
17,JZ-19297009,A359,Airbus A350-900,Airbus,Maintenance,25,1747301388,1747301388
18,HQ-47956570,A342,Airbus A340-200,Airbus,Maintenance,513,1747301388,1747301388
19,UC-61180551,AN72,Antonov An-72 / An-74,Antonov,Active,170,1747301388,1747301388
20,AI-75675949,A748,Hawker Siddeley HS 748,Hawker,Active,114,1747301388,1747301388
21,VQ-07731532,A332,Airbus A330-200,Airbus,Active,116,1747301388,1747301388
22,AN-05671452,A148,Antonov An-148,Antonov,Active,157,1747301388,1747301388
23,SB-83722937,A320,Airbus A320,Airbus,Active,231,1747301388,1747301388
24,UD-98272870,A306,Airbus A300-600,Airbus,Maintenance,139,1747301388,1747301388
25,PF-49123196,AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,Active,2,1747301388,1747301388
26,GR-38013354,A20N,Airbus A320neo,Airbus,Maintenance,33,1747301388,1747301388
27,NR-27757065,A338,Airbus A330-800,Airbus,Maintenance,290,1747301388,1747301388
28,VZ-85641022,AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale/Alenia,Active,185,1747301388,1747301388
29,YQ-51439385,A333,Airbus A330-300,Airbus,Maintenance,303,1747301388,1747301388
30,OB-80308781,A225,Antonov An-225 Mriya,Antonov,Active,55,1747301388,1747301388
31,RM-94981888,A35K,Airbus A350-1000,Airbus,Maintenance,150,1747301388,1747301388
32,PX-19171281,AJ27,Comac ARJ21-700 / C909,Comac,Active,97,1747301388,1747301388
33,DL-75573276,A35K,Airbus A350-1000,Airbus,Active,484,1747301388,1747301388
34,JI-82463827,A140,Antonov An-140,Antonov,Active,76,1747301388,1747301388
35,XA-73819367,A321,Airbus A321,Airbus,Maintenance,264,1747301388,1747301388
36,ZG-18796833,AN72,Antonov An-72 / An-74,Antonov,Active,104,1747301388,1747301388
37,SG-30244846,A319,Airbus A319,Airbus,Maintenance,271,1747301388,1747301388
38,JS-33926755,A342,Airbus A340-200,Airbus,Active,293,1747301388,1747301388
39,GS-25960115,A19N,Airbus A319neo,Airbus,Maintenance,121,1747301388,1747301388
40,TN-01577865,AJ27,Comac ARJ21-700 / C909,Comac,Maintenance,194,1747301388,1747301388
41,QV-14036190,A35K,Airbus A350-1000,Airbus,Active,48,1747301388,1747301388
42,FD-22930400,AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,Active,445,1747301388,1747301388
43,HY-48917124,B38M,Boeing 737 MAX 8,Boeing,Maintenance,441,1747301388,1747301388
44,PE-71973629,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,Maintenance,90,1747301388,1747301388
45,PX-66692256,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,Active,362,1747301388,1747301388
46,QR-36475058,B190,Beechcraft 1900,Beechcraft,Maintenance,598,1747301388,1747301388
47,IT-35346274,AN30,Antonov An-30,Antonov,Maintenance,239,1747301388,1747301388
48,TL-25692650,B190,Beechcraft 1900,Beechcraft,Maintenance,88,1747301388,1747301388
49,MK-44730877,A319,Airbus A319,Airbus,Active,165,1747301388,1747301388
