ICAO,Model,Manufacturer,Capacity
A124,Antonov An-124 Ruslan,Antonov,140
A140,Antonov An-140,Antonov,117
A148,Antonov An-148,Antonov,150
A158,Antonov An-158,Antonov,235
A19N,Airbus A319neo,Airbus,172
A20N,Airbus A320neo,Airbus,299
A21N,Airbus A321neo,Airbus,234
A225,Antonov An-225 Mriya,Antonov,102
A306,Airbus A300-600,Airbus,176
A310,Airbus A310-200,Airbus,272
A318,Airbus A318,Airbus,279
A319,Airbus A319,Airbus,302
A320,Airbus A320,Airbus,347
A321,Airbus A321,Airbus,297
A332,Airbus A330-200,Airbus,156
A333,Airbus A330-300,Airbus,230
A337,"Airbus A330-700 ""BelugaXL""",Airbus,277
A338,Airbus A330-800,Airbus,178
A339,Airbus A330-900,Airbus,251
A342,Airbus A340-200,Airbus,313
A343,Airbus A340-300,Airbus,303
A345,Airbus A340-500,Airbus,251
A346,Airbus A340-600,Airbus,354
A359,Airbus A350-900,Airbus,351
A35K,Airbus A350-1000,Airbus,350
A388,Airbus A380-800,Airbus,395
A3ST,"Airbus A300-600ST ""Super Transporter"" / ""Beluga""",Airbus,234
A400,Airbus A400M Atlas,Airbus,246
A748,Hawker Siddeley HS 748,Hawker,85
AC90,Gulfstream/Rockwell (Aero) Turbo Commander 690,Gulfstream/Rockwell,194
AJ27,Comac ARJ21-700 / C909,Comac,73
AN12,Antonov An-12,Antonov,207
AN24,Antonov An-24,Antonov,215
AN26,Antonov An-26,Antonov,100
AN28,Antonov An-28,Antonov,92
AN30,Antonov An-30,Antonov,184
AN32,Antonov An-32,Antonov,203
AN72,Antonov An-72 / An-74,Antonov,148
AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale/Alenia,184
AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,87
AT46,Aerospatiale/Alenia ATR 42-600,Aerospatiale/Alenia,20
AT72,Aerospatiale/Alenia ATR 72-201/-202,Aerospatiale/Alenia,20
AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,35
AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,200
AT76,Aerospatiale/Alenia ATR 72-212A (600),Aerospatiale/Alenia,127
ATP,British Aerospace ATP,British,134
B190,Beechcraft 1900,Beechcraft,34
B37M,Boeing 737 MAX 7,Boeing,385
B38M,Boeing 737 MAX 8,Boeing,242
B39M,Boeing 737 MAX 9,Boeing,169
B3XM,Boeing 737 MAX 10,Boeing,335
