,AircraftID,RegistrationNumber,ICAOTypeCode,Model,Manufacturer,OwnerAirlineID,CreatedAt,UpdatedAt,ICAO,Capacity
0,1,IO-97295756,AN28,Antonov An-28,Antonov,93,1747301388,1747301388,AN28,92
1,2,KT-27417425,AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,402,1747301388,1747301388,AT75,200
2,3,BA-71657740,A332,Airbus A330-200,Airbus,559,1747301388,1747301388,A332,156
3,4,US-70054154,A337,"Airbus A330-700 ""BelugaXL""",Airbus,432,1747301388,1747301388,A337,277
4,5,JG-92607849,AN12,Antonov An-12,Antonov,474,1747301388,1747301388,AN12,207
5,6,NA-68020498,A318,Airbus A318,Airbus,622,1747301388,1747301388,A318,279
6,7,NE-32179477,AJ27,Comac ARJ21-700 / C909,Comac,195,1747301388,1747301388,AJ27,73
7,8,NY-01249298,A359,Airbus A350-900,Airbus,272,1747301388,1747301388,A359,351
8,9,PD-63096177,A225,Antonov An-225 Mriya,Antonov,597,1747301388,1747301388,A225,102
9,10,YS-85237231,A319,Airbus A319,Airbus,505,1747301388,1747301388,A319,302
10,11,GQ-48897277,A19N,Airbus A319neo,Airbus,104,1747301388,1747301388,A19N,172
11,12,JR-79336587,A3ST,"Airbus A300-600ST ""Super Transporter"" / ""Beluga""",Airbus,76,1747301388,1747301388,A3ST,234
12,13,WL-85361859,A400,Airbus A400M Atlas,Airbus,371,1747301388,1747301388,A400,246
13,14,PC-85313997,A388,Airbus A380-800,Airbus,234,1747301388,1747301388,A388,395
14,15,EJ-73417135,A310,Airbus A310-200,Airbus,556,1747301388,1747301388,A310,272
15,16,WI-23416314,A318,Airbus A318,Airbus,25,1747301388,1747301388,A318,279
16,17,JZ-19297009,A359,Airbus A350-900,Airbus,25,1747301388,1747301388,A359,351
17,18,HQ-47956570,A342,Airbus A340-200,Airbus,513,1747301388,1747301388,A342,313
18,19,UC-61180551,AN72,Antonov An-72 / An-74,Antonov,170,1747301388,1747301388,AN72,148
19,20,AI-75675949,A748,Hawker Siddeley HS 748,Hawker,114,1747301388,1747301388,A748,85
20,21,VQ-07731532,A332,Airbus A330-200,Airbus,116,1747301388,1747301388,A332,156
21,22,AN-05671452,A148,Antonov An-148,Antonov,157,1747301388,1747301388,A148,150
22,23,SB-83722937,A320,Airbus A320,Airbus,231,1747301388,1747301388,A320,347
23,24,UD-98272870,A306,Airbus A300-600,Airbus,139,1747301388,1747301388,A306,176
24,25,PF-49123196,AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,2,1747301388,1747301388,AT45,87
25,26,GR-38013354,A20N,Airbus A320neo,Airbus,33,1747301388,1747301388,A20N,299
26,27,NR-27757065,A338,Airbus A330-800,Airbus,290,1747301388,1747301388,A338,178
27,28,VZ-85641022,AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale/Alenia,185,1747301388,1747301388,AT43,184
28,29,YQ-51439385,A333,Airbus A330-300,Airbus,303,1747301388,1747301388,A333,230
29,30,OB-80308781,A225,Antonov An-225 Mriya,Antonov,55,1747301388,1747301388,A225,102
30,31,RM-94981888,A35K,Airbus A350-1000,Airbus,150,1747301388,1747301388,A35K,350
31,32,PX-19171281,AJ27,Comac ARJ21-700 / C909,Comac,97,1747301388,1747301388,AJ27,73
32,33,DL-75573276,A35K,Airbus A350-1000,Airbus,484,1747301388,1747301388,A35K,350
33,34,JI-82463827,A140,Antonov An-140,Antonov,76,1747301388,1747301388,A140,117
34,35,XA-73819367,A321,Airbus A321,Airbus,264,1747301388,1747301388,A321,297
35,36,ZG-18796833,AN72,Antonov An-72 / An-74,Antonov,104,1747301388,1747301388,AN72,148
36,37,SG-30244846,A319,Airbus A319,Airbus,271,1747301388,1747301388,A319,302
37,38,JS-33926755,A342,Airbus A340-200,Airbus,293,1747301388,1747301388,A342,313
38,39,GS-25960115,A19N,Airbus A319neo,Airbus,121,1747301388,1747301388,A19N,172
39,40,TN-01577865,AJ27,Comac ARJ21-700 / C909,Comac,194,1747301388,1747301388,AJ27,73
40,41,QV-14036190,A35K,Airbus A350-1000,Airbus,48,1747301388,1747301388,A35K,350
41,42,FD-22930400,AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,445,1747301388,1747301388,AT45,87
42,43,HY-48917124,B38M,Boeing 737 MAX 8,Boeing,441,1747301388,1747301388,B38M,242
43,44,PE-71973629,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,90,1747301388,1747301388,AT73,35
44,45,PX-66692256,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,362,1747301388,1747301388,AT73,35
45,46,QR-36475058,B190,Beechcraft 1900,Beechcraft,598,1747301388,1747301388,B190,34
46,47,IT-35346274,AN30,Antonov An-30,Antonov,239,1747301388,1747301388,AN30,184
47,48,TL-25692650,B190,Beechcraft 1900,Beechcraft,88,1747301388,1747301388,B190,34
48,49,MK-44730877,A319,Airbus A319,Airbus,165,1747301388,1747301388,A319,302
49,50,EV-98495668,A342,Airbus A340-200,Airbus,73,1747301388,1747301388,A342,313
50,51,RN-15547197,AN72,Antonov An-72 / An-74,Antonov,5,1747301388,1747301388,AN72,148
51,52,XZ-72778891,A19N,Airbus A319neo,Airbus,289,1747301388,1747301388,A19N,172
52,53,OT-31351434,A306,Airbus A300-600,Airbus,41,1747301388,1747301388,A306,176
53,54,FD-68300855,A225,Antonov An-225 Mriya,Antonov,82,1747301388,1747301388,A225,102
54,55,RB-06694744,A337,"Airbus A330-700 ""BelugaXL""",Airbus,13,1747301388,1747301388,A337,277
55,56,ZB-98239241,A140,Antonov An-140,Antonov,373,1747301388,1747301388,A140,117
56,57,GC-83952775,A338,Airbus A330-800,Airbus,346,1747301388,1747301388,A338,178
