LegID,FlightID,ScheduledDepartureDateTime,ScheduledArrivalDateTime,DepartureAirportID,ArrivalAirportID,OperatingAirlineID,MarketingAirlineID,FlightNumber,AircraftID,ActualDepartureDateTime,ActualArrivalDateTime,Status,DelayReasonCode,CreatedAt,UpdatedAt
1,456709,2025-05-17 06:15:00,2025-05-17 13:40:00,5240,2496,331,376,DW84452144,,,,OnTime,,1747442714,1747442714
2,415580,2025-05-12 10:00:00,2025-05-12 20:38:00,3211,741,44,,AL82310685,9056,2025-05-12 10:50:00,2025-05-12 21:28:00,Delayed,,1747442714,1747442714
3,111449,2025-05-11 00:45:00,2025-05-11 02:01:00,7717,3783,149,616,QD40810042,5564,2025-05-11 01:04:00,2025-05-11 02:20:00,Delayed,,1747442714,1747442714
4,407984,2025-05-15 19:15:00,2025-05-15 20:26:00,9502,10466,215,316,IB43687444,2154,,,OnTime,,1747442714,1747442714
5,275085,2025-05-26 21:00:00,2025-05-27 13:49:00,16906,4902,272,622,YE34772966,5979,,,Scheduled,,1747442714,1747442714
6,255437,2025-05-21 23:00:00,2025-05-22 12:59:00,3813,13034,316,526,VN87089758,7912,,,Cancelled,,1747442714,1747442714
7,60979,2025-05-24 20:45:00,2025-05-25 09:44:00,14763,6377,312,571,SA89345558,6057,,,Scheduled,,1747442714,1747442714
8,274861,2025-05-25 03:30:00,2025-05-25 10:33:00,13503,13061,496,405,EJ36903808,2256,,,Delayed,,1747442714,1747442714
9,70580,2025-05-08 05:30:00,2025-05-08 13:32:00,1297,16440,207,423,VE80583883,1424,,,OnTime,,1747442714,1747442714
10,328861,2025-05-28 03:15:00,2025-05-28 10:27:00,5292,1964,75,312,TF73646404,2169,,,Delayed,,1747442714,1747442714
11,450281,2025-05-16 15:00:00,2025-05-17 08:37:00,16009,4622,399,317,MO85769032,7508,,,OnTime,,1747442714,1747442714
12,460650,2025-05-30 09:15:00,2025-05-30 12:35:00,15393,11212,600,271,HY42306867,,,,Scheduled,,1747442714,1747442714
13,494850,2025-05-27 19:00:00,2025-05-28 06:42:00,4759,12027,459,55,YX93744962,8742,,,Scheduled,,1747442714,1747442714
14,422251,2025-05-28 23:45:00,2025-05-29 07:13:00,16010,6325,594,399,UL01137816,,,,Delayed,,1747442714,1747442714
15,191961,2025-05-28 03:15:00,2025-05-28 20:44:00,5734,694,39,331,HA54972260,,,,Cancelled,,1747442714,1747442714
