LegID,FlightID,ScheduledDepartureDateTime,ScheduledArrivalDateTime,DepartureAirportID,ArrivalAirportID,OperatingAirlineID,MarketingAirlineID,FlightNumber,AircraftID,ActualDepartureDateTime,ActualArrivalDateTime,Status,DelayReasonCode,CreatedAt,UpdatedAt
219501,252301,2025-05-28 10:30:00,2025-05-28 23:15:00,6641,13496,398,328,GC50386018,8657,,,Cancelled,,1747465069,1747465069
219502,20528,2025-06-01 20:45:00,2025-06-01 23:59:00,15735,6115,61,554,EU92626610,,,,Delayed,34,1747465069,1747465069
219503,235152,2025-05-24 00:00:00,2025-05-24 13:11:00,308,2916,197,580,CD69490548,5835,,,Cancelled,,1747465069,1747465069
219504,208230,2025-05-29 03:15:00,2025-05-29 08:41:00,11828,2940,24,543,UY35022654,8803,,,Delayed,18,1747465069,1747465069
219505,315040,2025-05-26 16:30:00,2025-05-27 04:48:00,14933,2864,385,464,ZI72267124,6010,,,Scheduled,,1747465069,1747465069
219506,451769,2025-05-11 19:00:00,2025-05-12 03:55:00,11013,10818,405,157,UW59066401,5769,,,OnTime,,1747465069,1747465069
219507,488717,2025-05-24 00:30:00,2025-05-24 11:13:00,10712,6548,151,121,ZC52861622,5212,,,Delayed,12,1747465069,1747465069
219508,391373,2025-05-18 23:45:00,2025-05-19 01:40:00,12915,8120,363,574,MS40301349,3355,,,Scheduled,,1747465069,1747465069
219509,473485,2025-05-21 08:00:00,2025-05-21 11:41:00,12989,15582,546,503,NX58275316XCD,4310,,,Delayed,56,1747465069,1747465069
219510,405255,2025-05-26 03:45:00,2025-05-26 20:37:00,13275,5991,169,252,PK03630020,,,,Cancelled,,1747465069,1747465069
219511,242781,2025-05-31 18:15:00,2025-06-01 09:39:00,7443,11797,362,610,KN48104528,9218,,,Cancelled,,1747465069,1747465069
219512,463867,2025-05-17 12:45:00,2025-05-18 06:26:00,12602,8352,194,633,VP98608195,6292,,,OnTime,,1747465069,1747465069
219513,370800,2025-05-12 10:45:00,2025-05-12 21:11:00,4401,9959,546,639,CN66027907,7029,,,OnTime,,1747465069,1747465069
219514,50200,2025-05-31 23:30:00,2025-06-01 15:54:00,2103,8907,133,264,RY85192825,5870,,,Cancelled,,1747465069,1747465069
219515,495860,2025-05-19 07:15:00,2025-05-19 20:17:00,6882,11952,185,,IS34409167,8452,,,Cancelled,,1747465069,1747465069
219516,492202,2025-05-21 18:00:00,2025-05-22 10:46:00,8418,2836,13,296,JX19944874,5010,,,Delayed,23,1747465069,1747465069
219517,99699,2025-05-18 08:00:00,2025-05-18 11:35:00,12117,7560,510,243,DV70263672XCD,9144,,,Delayed,13,1747465069,1747465069
219518,18363,2025-05-25 22:45:00,2025-05-26 10:57:00,9414,15730,436,100,RI26964255,3796,,,Cancelled,,1747465069,1747465069
219519,399107,2025-05-17 08:00:00,2025-05-17 10:16:00,9022,8251,83,543,RC45588768XCD,4229,,,OnTime,,1747465069,1747465069
219520,130743,2025-05-17 06:15:00,2025-05-17 15:46:00,7567,3797,236,433,FP15408303,6875,,,OnTime,,1747465069,1747465069
219521,472249,2025-05-16 18:15:00,2025-05-17 06:03:00,6179,15515,119,309,LI23423884,1632,,,OnTime,,1747465069,1747465069
219522,222746,2025-05-10 12:30:00,2025-05-10 15:18:00,2889,4485,87,502,OY71965908,4687,,,OnTime,,1747465069,1747465069
219523,117882,2025-05-21 01:45:00,2025-05-21 18:28:00,12229,12248,299,,RE49310407,7944,,,Scheduled,,1747465069,1747465069
219524,304862,2025-05-15 17:30:00,2025-05-16 06:16:00,13735,7782,467,109,JO23095188,,2025-05-15 17:47:00,2025-05-16 06:33:00,Delayed,28,1747465069,1747465069
219525,402829,2025-05-21 06:00:00,2025-05-21 12:44:00,5012,16528,649,161,FL89175734,6797,,,Scheduled,,1747465069,1747465069
219526,264884,2025-05-15 15:00:00,2025-05-16 03:09:00,73,16609,6,142,ZI48999066,4777,,,OnTime,,1747465069,1747465069
219527,96887,2025-05-22 08:00:00,2025-05-22 10:09:00,15365,13417,486,5,XO37666358XCD,6701,,,Cancelled,,1747465069,1747465069
219528,163415,2025-05-18 08:00:00,2025-05-18 09:55:00,8742,8875,581,,LS97980019XCD,5738,,,Scheduled,,1747465069,1747465069
219529,487657,2025-05-29 06:15:00,2025-05-29 19:57:00,10210,8848,321,73,HM36202265,7558,,,Scheduled,,1747465069,1747465069
219530,366738,2025-05-21 00:00:00,2025-05-21 05:56:00,5000,15988,226,340,BC12067899,7015,,,Delayed,17,1747465069,1747465069
219531,399639,2025-05-21 12:00:00,2025-05-21 22:56:00,1982,464,31,64,HW85497605,6845,,,Scheduled,,1747465069,1747465069
219532,44571,2025-05-27 02:00:00,2025-05-27 04:04:00,763,15927,131,425,CJ50572376,6903,,,Scheduled,,1747465069,1747465069
219533,119994,2025-05-17 22:30:00,2025-05-18 14:58:00,11439,8941,45,247,BV33422472,8522,,,Cancelled,,1747465069,1747465069
219534,12577,2025-05-24 00:30:00,2025-05-24 14:05:00,16091,10606,179,633,JF99057276,9063,,,Delayed,57,1747465069,1747465069
219535,202697,2025-05-26 22:30:00,2025-05-27 05:25:00,5936,2569,563,557,VY58526786,6308,,,Scheduled,,1747465069,1747465069
219536,331325,2025-05-15 19:15:00,2025-05-16 09:38:00,14518,9231,31,230,AB89426238,,,,OnTime,,1747465069,1747465069
219537,71512,2025-05-20 01:00:00,2025-05-20 13:43:00,992,11307,425,,NL95944536,6525,,,Delayed,63,1747465069,1747465069
219538,145813,2025-05-26 08:00:00,2025-05-26 12:51:00,8649,14206,601,100,OW75560452,5430,,,Scheduled,,1747465069,1747465069
219539,474427,2025-05-28 13:00:00,2025-05-29 02:31:00,7111,649,590,404,ZG49895960,1144,,,Delayed,25,1747465069,1747465069
219540,23026,2025-05-22 08:00:00,2025-05-22 09:22:00,2081,1945,621,,IM77415371XCD,2764,,,Cancelled,,1747465069,1747465069
219541,222974,2025-05-22 09:30:00,2025-05-22 19:00:00,8091,3373,62,,VN52295863,,,,Scheduled,,1747465069,1747465069
219542,275948,2025-05-15 11:45:00,2025-05-16 03:24:00,15563,5462,431,249,DK80487601,8986,,,Cancelled,,1747465069,1747465069
219543,225203,2025-05-19 10:45:00,2025-05-19 14:12:00,15620,7127,494,634,KI79430593,,,,Cancelled,,1747465069,1747465069
219544,32380,2025-05-12 12:00:00,2025-05-13 01:55:00,1932,9529,484,473,BC39844863,8235,2025-05-12 12:49:00,2025-05-13 02:44:00,Delayed,21,1747465069,1747465069
219545,14682,2025-05-15 00:15:00,2025-05-15 16:28:00,56,3878,436,641,YI20604023,6218,2025-05-15 01:08:00,2025-05-15 17:21:00,Delayed,51,1747465069,1747465069
219546,307144,2025-05-23 03:15:00,2025-05-23 12:44:00,2177,2782,213,595,SZ70189339,,,,Delayed,29,1747465069,1747465069
219547,30339,2025-05-21 17:00:00,2025-05-22 00:56:00,8202,1877,365,280,VZ52405170,4577,,,Cancelled,,1747465069,1747465069
219548,446397,2025-05-10 21:00:00,2025-05-11 08:17:00,5676,2272,191,164,ZD02763019,5135,,,OnTime,,1747465069,1747465069
219549,331922,2025-05-22 01:00:00,2025-05-22 09:47:00,6198,1486,352,345,EK15128031,7407,,,Delayed,36,1747465069,1747465069
219550,178172,2025-05-15 08:00:00,2025-05-15 10:01:00,5018,11723,527,145,RT47448999XCD,,,,Cancelled,,1747465069,1747465069
