LegID,FlightID,ScheduledDepartureDateTime,ScheduledArrivalDateTime,DepartureAirportID,ArrivalAirportID,OperatingAirlineID,MarketingAirlineID,FlightNumber,AircraftID,ActualDepartureDateTime,ActualArrivalDateTime,Status,DelayReasonCode,CreatedAt,UpdatedAt
766501,235332,2025-05-22 09:00:00,2025-05-22 20:37:00,13831,4355,18,173,BI95526296,,,,Scheduled,,1747559128,1747559128
766502,488243,2025-06-02 03:30:00,2025-06-02 18:48:00,6303,1934,301,520,KA48629597,,,,Scheduled,,1747559128,1747559128
766503,124673,2025-05-22 01:15:00,2025-05-22 09:34:00,5767,13740,182,176,RB19393132,5873,,,Scheduled,,1747559128,1747559128
766504,476020,2025-05-11 01:15:00,2025-05-11 12:15:00,5748,3320,624,228,OT97248409,,,,Cancelled,,1747559128,1747559128
766505,476712,2025-05-08 15:00:00,2025-05-08 17:54:00,3558,9867,236,49,XO46820634,7572,,,OnTime,,1747559128,1747559128
766506,64645,2025-05-23 09:00:00,2025-05-23 18:40:00,13360,12070,49,176,LG27987822,7338,,,Scheduled,,1747559128,1747559128
766507,338825,2025-06-03 05:00:00,2025-06-03 22:36:00,4514,10057,334,,PS67396409,,,,Cancelled,,1747559128,1747559128
766508,283570,2025-05-23 21:15:00,2025-05-24 11:14:00,16227,850,347,277,EB48823611,4281,,,Delayed,93,1747559128,1747559128
766509,271512,2025-05-24 04:15:00,2025-05-24 06:23:00,15656,1880,149,276,NQ64810807,3313,,,Scheduled,,1747559128,1747559128
766510,386414,2025-05-25 22:00:00,2025-05-26 07:02:00,362,3917,293,596,IX30449994,3624,,,Cancelled,,1747559128,1747559128
766511,68103,2025-05-11 10:00:00,2025-05-11 12:19:00,12443,4715,430,189,WP17112097,4902,,,OnTime,,1747559128,1747559128
766512,473461,2025-05-31 07:45:00,2025-05-31 18:49:00,10127,15157,570,622,HQ33457663,758,,,Scheduled,,1747559128,1747559128
766513,,2025-05-19 08:00:00,2025-05-19 10:47:00,10006,10730,19,534,QS49711779R,7785,,,Scheduled,,1747559128,1747559128
766514,447336,2025-05-16 08:00:00,2025-05-16 21:54:00,15536,4870,334,70,BK05614127,5209,2025-05-16 08:57:00,2025-05-16 22:51:00,Delayed,29,1747559128,1747559128
766515,,2025-05-16 08:00:00,2025-05-16 10:25:00,16695,1917,452,219,LE67488182R,4223,,,OnTime,,1747559128,1747559128
766516,260602,2025-05-15 00:45:00,2025-05-15 10:28:00,3344,1049,370,,WW58461520,,2025-05-15 01:20:00,2025-05-15 11:03:00,Delayed,44,1747559128,1747559128
766517,453767,2025-05-31 21:45:00,2025-06-01 05:21:00,9984,5135,113,635,SA63194842,2932,,,Delayed,52,1747559128,1747559128
766518,446055,2025-05-23 08:15:00,2025-05-24 01:21:00,15029,9608,87,163,EI64018303,,,,Scheduled,,1747559128,1747559128
766519,279407,2025-05-22 10:00:00,2025-05-22 11:24:00,3565,7550,18,203,HW57978089,8647,,,Cancelled,,1747559128,1747559128
766520,,2025-05-17 08:00:00,2025-05-17 10:51:00,11914,2878,649,428,OO25355992R,319,,,OnTime,,1747559128,1747559128
766521,,2025-05-16 08:00:00,2025-05-16 10:09:00,15629,16194,235,298,LD40943493R,2639,2025-05-16 08:45:00,2025-05-16 10:54:00,Delayed,28,1747559128,1747559128
766522,5582,2025-05-20 07:00:00,2025-05-20 23:13:00,7693,7911,625,199,AW48774121,4337,,,Delayed,91,1747559128,1747559128
766523,283377,2025-05-27 16:30:00,2025-05-28 04:13:00,14626,15566,552,638,GB01671524,7550,,,Cancelled,,1747559128,1747559128
766524,403853,2025-05-15 15:00:00,2025-05-15 17:47:00,12798,11733,120,288,QL91233635,8543,,,OnTime,,1747559128,1747559128
766525,469645,2025-05-28 04:30:00,2025-05-28 15:43:00,4674,16317,349,442,PA57583691,4689,,,Scheduled,,1747559128,1747559128
766526,197685,2025-05-21 07:45:00,2025-05-21 15:09:00,6697,15910,271,341,ML94501500,4068,,,Cancelled,,1747559128,1747559128
766527,212376,2025-05-14 09:00:00,2025-05-14 20:46:00,3996,2530,26,522,YD31029028,7897,,,Cancelled,,1747559128,1747559128
766528,208145,2025-05-10 02:00:00,2025-05-10 11:28:00,13443,14959,12,118,WY01712556,6943,,,OnTime,,1747559128,1747559128
766529,308532,2025-05-26 03:00:00,2025-05-26 20:10:00,8306,2599,111,558,DR08332300,7821,,,Scheduled,,1747559128,1747559128
766530,105025,2025-06-02 17:15:00,2025-06-02 21:16:00,14439,2200,115,101,IY57469282,,,,Delayed,75,1747559128,1747559128
766531,370068,2025-05-18 17:00:00,2025-05-18 20:10:00,2707,4241,113,490,UH02264937,1731,,,Scheduled,,1747559128,1747559128
766532,,2025-05-21 08:00:00,2025-05-21 09:11:00,4072,7799,110,94,CR79441903R,,,,Delayed,26,1747559128,1747559128
766533,96547,2025-05-31 22:30:00,2025-06-01 13:59:00,11127,7695,35,12,NU89658795,9397,,,Scheduled,,1747559128,1747559128
766534,407624,2025-05-20 03:45:00,2025-05-20 14:28:00,12695,4283,83,437,SS57074185,3229,,,Cancelled,,1747559128,1747559128
766535,252029,2025-05-14 19:15:00,2025-05-15 07:01:00,10879,16494,477,,PE36748785,3225,2025-05-14 19:55:00,2025-05-15 07:41:00,Delayed,48,1747559128,1747559128
766536,25535,2025-05-15 13:30:00,2025-05-15 15:38:00,5792,12783,269,183,VO42862970,5093,,,OnTime,,1747559128,1747559128
766537,,2025-05-16 08:00:00,2025-05-16 12:00:00,6113,3338,562,623,ZQ81324265R,8825,,,OnTime,,1747559128,1747559128
766538,208481,2025-05-29 17:00:00,2025-05-30 03:47:00,5906,8697,467,194,CG10669393,4880,,,Delayed,72,1747559128,1747559128
766539,199824,2025-05-22 19:15:00,2025-05-23 00:04:00,2788,6790,557,428,CT92787266,4785,,,Cancelled,,1747559128,1747559128
766540,316464,2025-05-27 14:45:00,2025-05-28 00:16:00,12464,1250,303,241,HU07906390,,,,Delayed,81,1747559128,1747559128
766541,9388,2025-05-31 01:30:00,2025-05-31 05:23:00,5051,5851,10,,IH60828949,,,,Delayed,68,1747559128,1747559128
766542,,2025-05-19 08:00:00,2025-05-19 09:52:00,6554,13697,38,82,LK84842187R,1945,,,Delayed,68,1747559128,1747559128
766543,131293,2025-05-23 11:30:00,2025-05-23 20:34:00,9463,13617,546,553,FZ81069582,9309,,,Delayed,82,1747559128,1747559128
766544,259023,2025-05-21 14:30:00,2025-05-21 22:21:00,9402,12904,298,303,RE95297075,2610,,,Cancelled,,1747559128,1747559128
766545,241694,2025-05-17 18:15:00,2025-05-18 04:10:00,4698,1706,304,526,MM68510009XCD,3242,,,OnTime,,1747559128,1747559128
766546,140264,2025-05-25 04:15:00,2025-05-25 12:35:00,7307,2035,45,492,LF28263120,2241,,,Cancelled,,1747559128,1747559128
766547,147277,2025-05-13 04:00:00,2025-05-13 18:25:00,799,12875,434,327,IK70994719,1190,,,OnTime,,1747559128,1747559128
766548,269349,2025-05-14 07:45:00,2025-05-14 23:07:00,13456,12076,522,593,LQ83524336XCD,,,,Cancelled,,1747559128,1747559128
766549,147856,2025-05-13 22:30:00,2025-05-14 03:25:00,16722,15119,141,492,HN38810271,,2025-05-13 22:52:00,2025-05-14 03:47:00,Delayed,68,1747559128,1747559128
766550,,2025-05-23 08:00:00,2025-05-23 10:40:00,15738,7204,241,139,HY28826221R,7025,,,Scheduled,,1747559128,1747559128
766551,258435,2025-05-21 17:30:00,2025-05-22 10:57:00,3376,3075,411,160,UF08578114XCD,9029,,,Delayed,35,1747559128,1747559128
766552,367473,2025-05-17 21:15:00,2025-05-17 23:14:00,6883,16903,559,56,TW71408432,1761,,,OnTime,,1747559128,1747559128
766553,252149,2025-05-28 15:15:00,2025-05-28 17:10:00,5617,7474,345,182,UO52341924,9419,,,Cancelled,,1747559128,1747559128
766554,150508,2025-05-18 19:30:00,2025-05-18 23:08:00,90,1518,641,179,CJ29778915,,,,Scheduled,,1747559128,1747559128
766555,,2025-05-20 08:00:00,2025-05-20 09:02:00,13820,3009,187,647,WY57701903R,916,,,Delayed,94,1747559128,1747559128
766556,,2025-05-20 08:00:00,2025-05-20 09:35:00,15991,16220,304,565,FB09328719R,,,,Scheduled,,1747559128,1747559128
766557,35881,2025-05-30 20:15:00,2025-05-31 13:25:00,15424,2022,130,366,MP72269903XCD,7036,,,Delayed,46,1747559128,1747559128
