OperationalFlightLegID,CrewMemberID,AssignedRole,CreatedAt
303001,115258,Captain,1748010526
303001,160978,Purser,1748010526
303001,204324,Flight Attendant,1748010526
303002,226701,Captain,1748010526
303002,322007,Purser,1748010526
303002,188493,Flight Attendant,1748010526
303003,53558,Captain,1748010526
303003,47347,Purser,1748010526
303003,431096,Flight Attendant,1748010526
303004,287203,Captain,1748010526
303004,478700,Purser,1748010526
303004,414848,Flight Attendant,1748010526
303005,312724,Captain,1748010526
303005,480234,Purser,1748010526
303005,442269,Flight Attendant,1748010526
303006,388116,Captain,1748010526
303006,451370,Purser,1748010526
303006,498767,Flight Attendant,1748010526
303007,414276,Captain,1748010526
303007,131109,Purser,1748010526
303007,474458,Flight Attendant,1748010526
303008,209034,Captain,1748010527
303008,179213,Purser,1748010527
303008,265688,Flight Attendant,1748010527
303009,306908,Captain,1748010527
303009,101949,Purser,1748010527
303009,478576,Flight Attendant,1748010527
303010,335571,Captain,1748010527
303010,180101,Purser,1748010527
303010,313978,Flight Attendant,1748010527
303011,171294,Captain,1748010527
303011,308092,Purser,1748010527
303011,132970,Flight Attendant,1748010527
303012,32206,Captain,1748010527
303012,330505,Purser,1748010527
303012,333144,Flight Attendant,1748010527
303013,304635,Captain,1748010527
303013,447061,Purser,1748010527
303013,134238,Flight Attendant,1748010527
303014,376033,Captain,1748010527
303014,71076,Purser,1748010527
303014,325581,Flight Attendant,1748010527
303015,106141,Captain,1748010527
303015,215970,Purser,1748010527
303015,409874,Flight Attendant,1748010527
303016,491545,Captain,1748010527
303016,360989,Purser,1748010527
303016,419826,Flight Attendant,1748010527
303017,423668,Captain,1748010527
303017,268834,Purser,1748010527
303017,165588,Flight Attendant,1748010527
303018,399654,Captain,1748010527
303018,68983,Purser,1748010527
303018,297050,Flight Attendant,1748010527
303019,45358,Captain,1748010527
303019,209231,Purser,1748010527
303019,353675,Flight Attendant,1748010527
303020,227063,Captain,1748010527
303020,322502,Purser,1748010527
303020,41304,Flight Attendant,1748010527
303021,457100,Captain,1748010527
303021,381193,Purser,1748010527
303021,302069,Flight Attendant,1748010527
303022,111399,Captain,1748010527
303022,144860,Purser,1748010527
303022,433322,Flight Attendant,1748010527
303023,481735,Captain,1748010527
303023,223811,Purser,1748010527
303023,28972,Flight Attendant,1748010527
303024,122359,Captain,1748010527
303024,90992,Purser,1748010527
303024,186937,Flight Attendant,1748010527
303025,325850,Captain,1748010527
303025,124092,Purser,1748010527
303025,2288,Flight Attendant,1748010527
303026,333360,Captain,1748010527
303026,377328,Purser,1748010528
303026,160111,Flight Attendant,1748010528
303027,2848,Captain,1748010528
303027,236542,Purser,1748010528
303027,115411,Flight Attendant,1748010528
303028,461352,Captain,1748010528
303028,493085,Purser,1748010528
303028,249535,Flight Attendant,1748010528
303029,142475,Captain,1748010528
303029,328899,Purser,1748010528
303029,479888,Flight Attendant,1748010528
303030,78380,Captain,1748010528
303030,181741,Purser,1748010528
303030,315798,Flight Attendant,1748010528
303031,273625,Captain,1748010528
303031,34833,Purser,1748010528
303031,233419,Flight Attendant,1748010528
303032,405844,Captain,1748010528
303032,187175,Purser,1748010528
303032,213396,Flight Attendant,1748010528
303033,323753,Captain,1748010528
303033,427379,Purser,1748010528
303033,271961,Flight Attendant,1748010528
303034,283363,Captain,1748010528
303034,497259,Purser,1748010528
303034,318694,Flight Attendant,1748010528
303035,24478,Captain,1748010528
303035,443994,Purser,1748010528
303035,475734,Flight Attendant,1748010528
303036,128789,Captain,1748010528
303036,22896,Purser,1748010528
303036,39445,Flight Attendant,1748010528
303037,36184,Captain,1748010528
303037,488111,Purser,1748010528
303037,386906,Flight Attendant,1748010528
303038,457115,Captain,1748010528
303038,353244,Purser,1748010528
303038,326356,Flight Attendant,1748010528
303039,51555,Captain,1748010528
303039,231358,Purser,1748010528
303039,479731,Flight Attendant,1748010528
303040,78663,Captain,1748010528
303040,161402,Purser,1748010528
303040,197221,Flight Attendant,1748010528
303041,11166,Captain,1748010528
303041,120542,Purser,1748010528
303041,464503,Flight Attendant,1748010528
303042,283527,Captain,1748010528
303042,47017,Purser,1748010528
303042,1924,Flight Attendant,1748010528
303043,445324,Captain,1748010528
303043,423599,Purser,1748010528
303043,226776,Flight Attendant,1748010528
303044,413379,Captain,1748010528
303044,486756,Purser,1748010528
303044,488925,Flight Attendant,1748010528
303045,312844,Captain,1748010528
303045,198172,Purser,1748010529
303045,398301,Flight Attendant,1748010529
303046,374254,Captain,1748010529
303046,112276,Purser,1748010529
303046,348879,Flight Attendant,1748010529
303047,327495,Captain,1748010529
303047,402813,Purser,1748010529
303047,347512,Flight Attendant,1748010529
303048,348143,Captain,1748010529
303048,220459,Purser,1748010529
303048,267827,Flight Attendant,1748010529
303049,279411,Captain,1748010529
303049,209202,Purser,1748010529
303049,321116,Flight Attendant,1748010529
303050,327938,Captain,1748010529
303050,278184,Purser,1748010529
303050,422165,Flight Attendant,1748010529
303051,139937,Captain,1748010529
303051,217023,Purser,1748010529
303051,42658,Flight Attendant,1748010529
303052,423360,Captain,1748010529
303052,241909,Purser,1748010529
303052,102716,Flight Attendant,1748010529
303053,168272,Captain,1748010529
303053,239162,Purser,1748010529
303053,403614,Flight Attendant,1748010529
303054,499590,Captain,1748010529
303054,284847,Purser,1748010529
303054,232097,Flight Attendant,1748010529
303055,213121,Captain,1748010529
303055,353875,Purser,1748010529
303055,320639,Flight Attendant,1748010529
303056,326031,Captain,1748010529
303056,16690,Purser,1748010529
303056,5397,Flight Attendant,1748010529
303057,177993,Captain,1748010529
303057,304155,Purser,1748010529
303057,25221,Flight Attendant,1748010529
303058,224883,Captain,1748010529
303058,351024,Purser,1748010529
303058,270272,Flight Attendant,1748010529
303059,406166,Captain,1748010529
303059,298151,Purser,1748010529
